respondent_key,split
2013-2014:76221,train
2013-2014:76224,train
2013-2014:76227,train
2013-2014:76233,validation
2013-2014:76236,train
2013-2014:76238,train
2013-2014:76244,train
2013-2014:76245,train
2013-2014:76253,validation
2013-2014:76256,validation
2013-2014:76259,validation
2013-2014:76269,train
2013-2014:76270,train
2013-2014:76272,train
2013-2014:76279,train
2013-2014:76281,train
2013-2014:76282,validation
2013-2014:76288,train
2013-2014:76289,train
2013-2014:76290,train
2013-2014:76298,validation
2013-2014:76301,train
2013-2014:76303,train
2013-2014:76310,train
2013-2014:76311,train
2013-2014:76314,train
2013-2014:76316,train
2013-2014:76320,train
2013-2014:76322,train
2013-2014:76323,train
2013-2014:76337,train
2013-2014:76340,train
2013-2014:76342,train
2013-2014:76347,train
2013-2014:76351,test
2013-2014:76363,test
2013-2014:76375,validation
2013-2014:76376,train
2013-2014:76387,train
2013-2014:76401,validation
2013-2014:76403,train
2013-2014:76405,train
2013-2014:76411,train
2013-2014:76442,train
2013-2014:76444,test
2013-2014:76451,train
2013-2014:76453,train
2013-2014:76455,validation
2013-2014:76461,train
2013-2014:76466,test
2013-2014:76472,train
2013-2014:76474,train
2013-2014:76480,train
2013-2014:76486,train
2013-2014:76487,train
2013-2014:76503,validation
2013-2014:76508,train
2013-2014:76511,train
2013-2014:76514,train
2013-2014:76515,train
2013-2014:76522,train
2013-2014:76525,test
2013-2014:76529,validation
2013-2014:76558,test
2013-2014:76568,train
2013-2014:76574,train
2013-2014:76575,validation
2013-2014:76576,train
2013-2014:76579,train
2013-2014:76581,train
2013-2014:76584,train
2013-2014:76588,validation
2013-2014:76590,train
2013-2014:76596,test
2013-2014:76602,train
2013-2014:76608,train
2013-2014:76609,train
2013-2014:76614,train
2013-2014:76619,test
2013-2014:76627,train
2013-2014:76630,train
2013-2014:76637,train
2013-2014:76641,train
2013-2014:76643,validation
2013-2014:76653,test
2013-2014:76655,train
2013-2014:76656,test
2013-2014:76657,train
2013-2014:76665,test
2013-2014:76667,train
2013-2014:76668,test
2013-2014:76674,train
2013-2014:76677,train
2013-2014:76684,validation
2013-2014:76690,validation
2013-2014:76698,train
2013-2014:76705,validation
2013-2014:76707,train
2013-2014:76716,test
2013-2014:76719,test
2013-2014:76720,train
2013-2014:76732,train
2013-2014:76735,train
2013-2014:76737,validation
2013-2014:76738,test
2013-2014:76739,test
2013-2014:76740,test
2013-2014:76747,train
2013-2014:76755,train
2013-2014:76760,train
2013-2014:76764,train
2013-2014:76765,train
2013-2014:76767,train
2013-2014:76769,train
2013-2014:76772,train
2013-2014:76774,train
2013-2014:76779,validation
2013-2014:76792,validation
2013-2014:76793,train
2013-2014:76805,test
2013-2014:76806,train
2013-2014:76807,train
2013-2014:76810,train
2013-2014:76811,train
2013-2014:76819,train
2013-2014:76824,train
2013-2014:76827,validation
2013-2014:76834,train
2013-2014:76846,test
2013-2014:76851,test
2013-2014:76860,train
2013-2014:76863,validation
2013-2014:76869,train
2013-2014:76871,train
2013-2014:76877,train
2013-2014:76879,train
2013-2014:76882,train
2013-2014:76884,train
2013-2014:76891,train
2013-2014:76895,train
2013-2014:76901,validation
2013-2014:76904,train
2013-2014:76905,train
2013-2014:76908,train
2013-2014:76909,train
2013-2014:76920,train
2013-2014:76938,train
2013-2014:76949,train
2013-2014:76950,train
2013-2014:76951,train
2013-2014:76958,test
2013-2014:76978,test
2013-2014:76993,train
2013-2014:76995,train
2013-2014:76998,test
2013-2014:77001,train
2013-2014:77004,train
2013-2014:77006,train
2013-2014:77007,train
2013-2014:77008,train
2013-2014:77014,train
2013-2014:77016,train
2013-2014:77023,validation
2013-2014:77026,train
2013-2014:77032,train
2013-2014:77039,train
2013-2014:77049,validation
2013-2014:77058,train
2013-2014:77060,train
2013-2014:77063,validation
2013-2014:77066,train
2013-2014:77073,train
2013-2014:77075,test
2013-2014:77082,train
2013-2014:77083,test
2013-2014:77094,test
2013-2014:77103,train
2013-2014:77104,validation
2013-2014:77112,train
2013-2014:77126,validation
2013-2014:77127,train
2013-2014:77136,train
2013-2014:77138,validation
2013-2014:77139,train
2013-2014:77141,train
2013-2014:77144,train
2013-2014:77153,test
2013-2014:77154,train
2013-2014:77157,train
2013-2014:77159,train
2013-2014:77162,train
2013-2014:77163,train
2013-2014:77164,train
2013-2014:77168,train
2013-2014:77171,train
2013-2014:77173,train
2013-2014:77176,test
2013-2014:77185,train
2013-2014:77187,train
2013-2014:77189,test
2013-2014:77191,train
2013-2014:77193,train
2013-2014:77197,train
2013-2014:77198,train
2013-2014:77205,train
2013-2014:77217,train
2013-2014:77220,train
2013-2014:77221,train
2013-2014:77224,test
2013-2014:77235,validation
2013-2014:77237,train
2013-2014:77239,test
2013-2014:77251,validation
2013-2014:77252,train
2013-2014:77262,train
2013-2014:77271,validation
2013-2014:77279,test
2013-2014:77281,validation
2013-2014:77285,train
2013-2014:77287,train
2013-2014:77294,train
2013-2014:77299,train
2013-2014:77304,train
2013-2014:77305,train
2013-2014:77308,train
2013-2014:77313,train
2013-2014:77316,train
2013-2014:77323,train
2013-2014:77328,train
2013-2014:77337,train
2013-2014:77347,train
2013-2014:77353,train
2013-2014:77355,train
2013-2014:77362,train
2013-2014:77367,test
2013-2014:77368,train
2013-2014:77369,train
2013-2014:77374,test
2013-2014:77392,test
2013-2014:77399,train
2013-2014:77405,train
2013-2014:77407,test
2013-2014:77411,train
2013-2014:77424,train
2013-2014:77428,train
2013-2014:77436,test
2013-2014:77446,test
2013-2014:77453,train
2013-2014:77455,train
2013-2014:77461,train
2013-2014:77463,train
2013-2014:77465,test
2013-2014:77466,train
2013-2014:77470,train
2013-2014:77474,validation
2013-2014:77481,train
2013-2014:77498,train
2013-2014:77502,train
2013-2014:77504,train
2013-2014:77508,test
2013-2014:77517,train
2013-2014:77534,test
2013-2014:77539,train
2013-2014:77552,train
2013-2014:77562,train
2013-2014:77569,train
2013-2014:77571,train
2013-2014:77577,train
2013-2014:77581,train
2013-2014:77584,test
2013-2014:77589,train
2013-2014:77595,train
2013-2014:77600,train
2013-2014:77607,validation
2013-2014:77609,train
2013-2014:77610,validation
2013-2014:77611,train
2013-2014:77615,train
2013-2014:77618,validation
2013-2014:77620,train
2013-2014:77625,train
2013-2014:77634,test
2013-2014:77638,test
2013-2014:77639,train
2013-2014:77642,train
2013-2014:77643,train
2013-2014:77645,validation
2013-2014:77653,train
2013-2014:77657,train
2013-2014:77669,train
2013-2014:77671,validation
2013-2014:77685,validation
2013-2014:77686,test
2013-2014:77689,train
2013-2014:77690,train
2013-2014:77691,train
2013-2014:77693,train
2013-2014:77698,train
2013-2014:77708,train
2013-2014:77714,validation
2013-2014:77715,train
2013-2014:77719,train
2013-2014:77734,train
2013-2014:77739,train
2013-2014:77743,train
2013-2014:77751,validation
2013-2014:77752,test
2013-2014:77763,validation
2013-2014:77778,test
2013-2014:77779,train
2013-2014:77782,train
2013-2014:77795,validation
2013-2014:77800,test
2013-2014:77805,validation
2013-2014:77823,train
2013-2014:77832,train
2013-2014:77835,validation
2013-2014:77837,train
2013-2014:77858,train
2013-2014:77861,train
2013-2014:77869,train
2013-2014:77872,train
2013-2014:77876,train
2013-2014:77884,train
2013-2014:77886,test
2013-2014:77894,train
2013-2014:77895,train
2013-2014:77902,test
2013-2014:77907,train
2013-2014:77908,train
2013-2014:77912,validation
2013-2014:77917,validation
2013-2014:77919,train
2013-2014:77927,train
2013-2014:77933,train
2013-2014:77936,train
2013-2014:77937,train
2013-2014:77939,validation
2013-2014:77953,train
2013-2014:77954,train
2013-2014:77957,train
2013-2014:77968,test
2013-2014:77979,train
2013-2014:77982,validation
2013-2014:77987,test
2013-2014:77991,train
2013-2014:78000,train
2013-2014:78001,validation
2013-2014:78002,validation
2013-2014:78003,train
2013-2014:78005,train
2013-2014:78008,train
2013-2014:78013,train
2013-2014:78018,train
2013-2014:78020,validation
2013-2014:78036,validation
2013-2014:78040,train
2013-2014:78045,train
2013-2014:78047,test
2013-2014:78065,train
2013-2014:78079,train
2013-2014:78091,train
2013-2014:78095,test
2013-2014:78105,train
2013-2014:78107,train
2013-2014:78126,train
2013-2014:78128,test
2013-2014:78130,train
2013-2014:78132,train
2013-2014:78140,train
2013-2014:78142,train
2013-2014:78149,validation
2013-2014:78164,train
2013-2014:78171,train
2013-2014:78179,train
2013-2014:78180,validation
2013-2014:78185,train
2013-2014:78186,test
2013-2014:78187,train
2013-2014:78195,train
2013-2014:78199,validation
2013-2014:78200,train
2013-2014:78201,train
2013-2014:78207,train
2013-2014:78212,train
2013-2014:78215,train
2013-2014:78225,train
2013-2014:78227,train
2013-2014:78230,train
2013-2014:78238,validation
2013-2014:78239,train
2013-2014:78247,train
2013-2014:78253,train
2013-2014:78262,test
2013-2014:78263,validation
2013-2014:78279,train
2013-2014:78280,train
2013-2014:78287,train
2013-2014:78291,train
2013-2014:78292,validation
2013-2014:78297,train
2013-2014:78302,train
2013-2014:78305,train
2013-2014:78309,validation
2013-2014:78312,train
2013-2014:78315,train
2013-2014:78318,validation
2013-2014:78334,train
2013-2014:78335,test
2013-2014:78336,train
2013-2014:78345,train
2013-2014:78350,train
2013-2014:78355,train
2013-2014:78359,train
2013-2014:78374,train
2013-2014:78379,train
2013-2014:78394,train
2013-2014:78403,train
2013-2014:78417,validation
2013-2014:78428,train
2013-2014:78430,train
2013-2014:78432,train
2013-2014:78439,train
2013-2014:78442,validation
2013-2014:78443,validation
2013-2014:78447,train
2013-2014:78461,train
2013-2014:78465,train
2013-2014:78468,test
2013-2014:78483,test
2013-2014:78486,train
2013-2014:78496,validation
2013-2014:78501,test
2013-2014:78503,validation
2013-2014:78504,train
2013-2014:78529,train
2013-2014:78533,test
2013-2014:78535,train
2013-2014:78542,validation
2013-2014:78551,validation
2013-2014:78552,train
2013-2014:78568,train
2013-2014:78602,train
2013-2014:78614,train
2013-2014:78619,train
2013-2014:78629,train
2013-2014:78636,train
2013-2014:78642,validation
2013-2014:78651,train
2013-2014:78652,validation
2013-2014:78669,train
2013-2014:78673,train
2013-2014:78676,validation
2013-2014:78677,validation
2013-2014:78682,validation
2013-2014:78701,test
2013-2014:78713,validation
2013-2014:78714,train
2013-2014:78715,train
2013-2014:78718,train
2013-2014:78719,train
2013-2014:78720,test
2013-2014:78723,train
2013-2014:78727,train
2013-2014:78744,validation
2013-2014:78746,test
2013-2014:78750,train
2013-2014:78754,train
2013-2014:78760,test
2013-2014:78764,validation
2013-2014:78768,train
2013-2014:78772,train
2013-2014:78777,validation
2013-2014:78778,validation
2013-2014:78780,validation
2013-2014:78782,train
2013-2014:78783,validation
2013-2014:78788,test
2013-2014:78814,train
2013-2014:78818,train
2013-2014:78819,validation
2013-2014:78821,train
2013-2014:78823,test
2013-2014:78827,validation
2013-2014:78834,train
2013-2014:78837,train
2013-2014:78840,train
2013-2014:78845,train
2013-2014:78862,test
2013-2014:78865,train
2013-2014:78872,train
2013-2014:78874,train
2013-2014:78875,validation
2013-2014:78882,train
2013-2014:78884,train
2013-2014:78885,train
2013-2014:78896,test
2013-2014:78898,validation
2013-2014:78901,train
2013-2014:78904,train
2013-2014:78909,train
2013-2014:78911,validation
2013-2014:78922,test
2013-2014:78944,train
2013-2014:78950,train
2013-2014:78952,train
2013-2014:78962,test
2013-2014:78966,train
2013-2014:78967,validation
2013-2014:78969,train
2013-2014:78973,train
2013-2014:78976,train
2013-2014:78977,train
2013-2014:78979,train
2013-2014:78992,train
2013-2014:79002,test
2013-2014:79007,train
2013-2014:79014,train
2013-2014:79018,validation
2013-2014:79019,validation
2013-2014:79025,validation
2013-2014:79027,train
2013-2014:79036,train
2013-2014:79037,train
2013-2014:79039,test
2013-2014:79040,train
2013-2014:79041,test
2013-2014:79049,train
2013-2014:79057,train
2013-2014:79058,train
2013-2014:79060,train
2013-2014:79063,train
2013-2014:79073,train
2013-2014:79078,train
2013-2014:79080,validation
2013-2014:79081,train
2013-2014:79084,train
2013-2014:79088,train
2013-2014:79091,test
2013-2014:79097,validation
2013-2014:79100,train
2013-2014:79110,train
2013-2014:79112,test
2013-2014:79119,train
2013-2014:79127,validation
2013-2014:79128,train
2013-2014:79136,train
2013-2014:79138,train
2013-2014:79139,train
2013-2014:79142,train
2013-2014:79153,train
2013-2014:79155,train
2013-2014:79160,test
2013-2014:79161,train
2013-2014:79165,train
2013-2014:79169,test
2013-2014:79171,test
2013-2014:79181,train
2013-2014:79191,validation
2013-2014:79199,train
2013-2014:79204,train
2013-2014:79211,train
2013-2014:79213,train
2013-2014:79214,validation
2013-2014:79223,test
2013-2014:79224,train
2013-2014:79225,train
2013-2014:79234,train
2013-2014:79243,validation
2013-2014:79249,test
2013-2014:79251,train
2013-2014:79256,train
2013-2014:79257,train
2013-2014:79258,train
2013-2014:79264,train
2013-2014:79268,train
2013-2014:79271,train
2013-2014:79274,train
2013-2014:79276,test
2013-2014:79279,train
2013-2014:79281,test
2013-2014:79282,train
2013-2014:79293,train
2013-2014:79296,train
2013-2014:79297,train
2013-2014:79298,test
2013-2014:79302,validation
2013-2014:79306,train
2013-2014:79309,train
2013-2014:79311,train
2013-2014:79317,validation
2013-2014:79318,train
2013-2014:79324,train
2013-2014:79325,train
2013-2014:79333,train
2013-2014:79335,train
2013-2014:79337,train
2013-2014:79341,train
2013-2014:79344,train
2013-2014:79354,test
2013-2014:79360,validation
2013-2014:79364,train
2013-2014:79379,train
2013-2014:79388,train
2013-2014:79390,train
2013-2014:79394,train
2013-2014:79395,train
2013-2014:79397,train
2013-2014:79407,test
2013-2014:79408,train
2013-2014:79409,train
2013-2014:79419,train
2013-2014:79422,train
2013-2014:79426,test
2013-2014:79429,train
2013-2014:79433,train
2013-2014:79438,test
2013-2014:79440,train
2013-2014:79441,train
2013-2014:79444,train
2013-2014:79449,train
2013-2014:79452,train
2013-2014:79455,train
2013-2014:79461,train
2013-2014:79464,train
2013-2014:79466,validation
2013-2014:79473,train
2013-2014:79476,test
2013-2014:79479,train
2013-2014:79480,validation
2013-2014:79486,train
2013-2014:79487,test
2013-2014:79491,train
2013-2014:79493,train
2013-2014:79499,train
2013-2014:79501,validation
2013-2014:79517,validation
2013-2014:79522,train
2013-2014:79523,train
2013-2014:79530,validation
2013-2014:79536,validation
2013-2014:79537,train
2013-2014:79539,train
2013-2014:79541,validation
2013-2014:79545,train
2013-2014:79549,test
2013-2014:79560,train
2013-2014:79565,test
2013-2014:79566,train
2013-2014:79568,train
2013-2014:79571,train
2013-2014:79575,validation
2013-2014:79578,train
2013-2014:79579,train
2013-2014:79581,train
2013-2014:79589,train
2013-2014:79590,train
2013-2014:79598,test
2013-2014:79599,train
2013-2014:79602,train
2013-2014:79603,train
2013-2014:79605,train
2013-2014:79621,train
2013-2014:79625,train
2013-2014:79639,validation
2013-2014:79640,train
2013-2014:79654,train
2013-2014:79658,train
2013-2014:79659,validation
2013-2014:79672,validation
2013-2014:79675,train
2013-2014:79683,validation
2013-2014:79685,train
2013-2014:79686,train
2013-2014:79697,test
2013-2014:79719,test
2013-2014:79721,test
2013-2014:79724,train
2013-2014:79729,train
2013-2014:79734,train
2013-2014:79735,train
2013-2014:79739,train
2013-2014:79740,train
2013-2014:79744,train
2013-2014:79748,train
2013-2014:79750,validation
2013-2014:79755,train
2013-2014:79757,train
2013-2014:79764,train
2013-2014:79771,test
2013-2014:79773,validation
2013-2014:79783,train
2013-2014:79792,train
2013-2014:79795,train
2013-2014:79798,train
2013-2014:79804,train
2013-2014:79806,train
2013-2014:79808,train
2013-2014:79820,train
2013-2014:79822,train
2013-2014:79837,train
2013-2014:79843,validation
2013-2014:79845,test
2013-2014:79857,train
2013-2014:79859,train
2013-2014:79864,validation
2013-2014:79870,train
2013-2014:79873,train
2013-2014:79880,train
2013-2014:79883,train
2013-2014:79884,train
2013-2014:79886,train
2013-2014:79902,train
2013-2014:79906,train
2013-2014:79911,test
2013-2014:79912,train
2013-2014:79914,validation
2013-2014:79926,train
2013-2014:79927,train
2013-2014:79928,train
2013-2014:79934,test
2013-2014:79943,validation
2013-2014:79950,train
2013-2014:79958,train
2013-2014:79959,test
2013-2014:79965,train
2013-2014:79974,train
2013-2014:79989,train
2013-2014:79993,test
2013-2014:79995,train
2013-2014:79999,test
2013-2014:80005,test
2013-2014:80008,train
2013-2014:80021,train
2013-2014:80025,test
2013-2014:80026,train
2013-2014:80027,train
2013-2014:80034,train
2013-2014:80036,train
2013-2014:80047,train
2013-2014:80049,validation
2013-2014:80052,validation
2013-2014:80055,train
2013-2014:80057,train
2013-2014:80066,train
2013-2014:80072,train
2013-2014:80073,train
2013-2014:80080,train
2013-2014:80087,train
2013-2014:80089,train
2013-2014:80092,train
2013-2014:80095,test
2013-2014:80096,train
2013-2014:80106,train
2013-2014:80107,train
2013-2014:80110,train
2013-2014:80111,test
2013-2014:80114,train
2013-2014:80128,test
2013-2014:80134,validation
2013-2014:80138,train
2013-2014:80139,test
